,File Name,Commit msg,Complexity,Nol Added,Nol Removed,No of lines in file,Token Count,No of Changed Methods,No of Methods,Code Churn Files Count,Code Churn Files Max,Code Churn Files Avg,Commits Count,Hunks Count,Added Lines Count,Added Lines Max,Added Lines avg,Removed Lines Count,Removed Lines max,Removed Lines avg,BugLabelLevel,CommitBug,AddRemoved,CommitAddRemoved
clients/src/main/java/org/apache/kafka/clients/admin/DescribeProducersResult.java,clients/src/main/java/org/apache/kafka/clients/admin/DescribeProducersResult.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",9,7,0,54,383,1,6,83,76,42,2,1.0,83,76,42,0,0,0,2,1,0,1
clients/src/main/java/org/apache/kafka/clients/admin/DescribeTransactionsOptions.java,clients/src/main/java/org/apache/kafka/clients/admin/DescribeTransactionsOptions.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",1,7,0,12,63,1,1,38,31,19,2,1.0,38,31,19,0,0,0,1,0,0,0
clients/src/main/java/org/apache/kafka/clients/admin/KafkaAdminClient.java,clients/src/main/java/org/apache/kafka/clients/admin/KafkaAdminClient.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",538,31,18,3859,31951,6,141,4848,1065,28,174,4.0,7283,1065,42,2435,203,14,2,1,0,1
clients/src/main/java/org/apache/kafka/clients/admin/ListTransactionsOptions.java,clients/src/main/java/org/apache/kafka/clients/admin/ListTransactionsOptions.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",5,91,0,33,198,5,5,91,91,91,1,1,91,91,91,0,0,0,0,0,0,0
clients/src/main/java/org/apache/kafka/clients/admin/ListTransactionsResult.java,clients/src/main/java/org/apache/kafka/clients/admin/ListTransactionsResult.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",10,125,0,66,534,4,4,125,125,125,1,1,125,125,125,0,0,0,0,0,0,0
clients/src/main/java/org/apache/kafka/clients/admin/TransactionListing.java,clients/src/main/java/org/apache/kafka/clients/admin/TransactionListing.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",12,74,0,48,237,7,7,74,74,74,1,1,74,74,74,0,0,0,0,0,0,0
clients/src/main/java/org/apache/kafka/clients/admin/internals/AbortTransactionHandler.java,clients/src/main/java/org/apache/kafka/clients/admin/internals/AbortTransactionHandler.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",23,8,6,141,1135,3,8,186,184,93,2,2.0,192,184,96,6,6,3,1,0,1,1
clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminApiDriver.java,clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminApiDriver.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",48,82,78,306,2002,18,30,469,465,234,2,12.5,547,465,274,78,78,39,2,1,0,1
clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminApiFuture.java,clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminApiFuture.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",12,125,0,58,418,11,11,125,125,125,1,1,125,125,125,0,0,0,0,0,0,0
clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminApiHandler.java,clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminApiHandler.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",5,15,55,55,413,4,5,124,139,31,4,2.0,181,139,45,57,55,14,2,1,0,1
clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminApiLookupStrategy.java,clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminApiLookupStrategy.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",5,24,0,43,360,2,5,128,88,43,3,2,128,88,43,0,0,0,2,1,0,1
clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminMetadataManager.java,clients/src/main/java/org/apache/kafka/clients/admin/internals/AdminMetadataManager.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",30,1,1,151,893,0,20,258,247,29,9,1,300,247,33,42,24,5,2,1,0,1
clients/src/main/java/org/apache/kafka/clients/admin/internals/AllBrokersStrategy.java,clients/src/main/java/org/apache/kafka/clients/admin/internals/AllBrokersStrategy.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",31,212,0,153,1071,19,19,212,212,212,1,1,212,212,212,0,0,0,0,0,0,0
clients/src/main/java/org/apache/kafka/clients/admin/internals/ApiRequestScope.java,clients/src/main/java/org/apache/kafka/clients/admin/internals/ApiRequestScope.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",1,5,1,7,39,0,1,46,42,23,2,1.0,47,42,24,1,1,0,2,1,0,1
clients/src/main/java/org/apache/kafka/clients/admin/internals/DescribeProducersHandler.java,clients/src/main/java/org/apache/kafka/clients/admin/internals/DescribeProducersHandler.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",18,17,17,163,1169,5,7,205,205,68,3,2,224,205,75,19,17,6,2,1,0,1
clients/src/main/java/org/apache/kafka/clients/admin/internals/DescribeTransactionsHandler.java,clients/src/main/java/org/apache/kafka/clients/admin/internals/DescribeTransactionsHandler.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",21,10,7,151,1006,5,9,192,189,96,2,3.5,199,189,100,7,7,4,1,0,1,1
clients/src/main/java/org/apache/kafka/clients/admin/internals/ListTransactionsHandler.java,clients/src/main/java/org/apache/kafka/clients/admin/internals/ListTransactionsHandler.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",13,130,0,99,749,7,7,130,130,130,1,1,130,130,130,0,0,0,0,0,0,0
clients/src/main/java/org/apache/kafka/clients/admin/internals/StaticBrokerStrategy.java,clients/src/main/java/org/apache/kafka/clients/admin/internals/StaticBrokerStrategy.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",6,65,0,33,196,6,6,65,65,65,1,1,65,65,65,0,0,0,0,0,0,0
clients/src/test/java/org/apache/kafka/clients/admin/KafkaAdminClientTest.java,clients/src/test/java/org/apache/kafka/clients/admin/KafkaAdminClientTest.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",253,55,0,4772,49523,1,202,5918,500,44,133,5,7725,508,58,1807,279,14,2,1,0,1
clients/src/test/java/org/apache/kafka/clients/admin/ListTransactionsResultTest.java,clients/src/test/java/org/apache/kafka/clients/admin/ListTransactionsResultTest.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",3,119,0,79,816,3,3,119,119,119,1,1,119,119,119,0,0,0,0,0,0,0
clients/src/test/java/org/apache/kafka/clients/admin/MockAdminClient.java,clients/src/test/java/org/apache/kafka/clients/admin/MockAdminClient.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",175,5,0,844,6342,1,75,983,293,22,45,2,1192,387,26,209,94,5,2,1,0,1
clients/src/test/java/org/apache/kafka/clients/admin/internals/AdminApiDriverTest.java,clients/src/test/java/org/apache/kafka/clients/admin/internals/AdminApiDriverTest.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",62,120,87,601,5159,37,53,792,759,264,3,2,881,759,294,89,87,30,2,1,0,1
clients/src/test/java/org/apache/kafka/clients/admin/internals/AllBrokersStrategyIntegrationTest.java,clients/src/test/java/org/apache/kafka/clients/admin/internals/AllBrokersStrategyIntegrationTest.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",12,247,0,187,2009,11,11,247,247,247,1,1,247,247,247,0,0,0,0,0,0,0
clients/src/test/java/org/apache/kafka/clients/admin/internals/AllBrokersStrategyTest.java,clients/src/test/java/org/apache/kafka/clients/admin/internals/AllBrokersStrategyTest.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",5,124,0,87,863,5,5,124,124,124,1,1,124,124,124,0,0,0,0,0,0,0
clients/src/test/java/org/apache/kafka/clients/admin/internals/DescribeProducersHandlerTest.java,clients/src/test/java/org/apache/kafka/clients/admin/internals/DescribeProducersHandlerTest.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",22,12,19,267,2109,6,18,328,335,164,2,6.5,347,335,174,19,19,10,2,1,0,1
clients/src/test/java/org/apache/kafka/clients/admin/internals/DescribeTransactionsHandlerTest.java,clients/src/test/java/org/apache/kafka/clients/admin/internals/DescribeTransactionsHandlerTest.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",15,3,4,182,1401,3,13,228,229,114,2,2.0,232,229,116,4,4,2,1,0,1,1
clients/src/test/java/org/apache/kafka/clients/admin/internals/ListTransactionsHandlerTest.java,clients/src/test/java/org/apache/kafka/clients/admin/internals/ListTransactionsHandlerTest.java,"KAFKA-12709; Add Admin API for `ListTransactions` (#10616)

This patch adds `Admin` support for the `listTransactions` API, which was added by [KIP-664](https://cwiki.apache.org/confluence/display/KAFKA/KIP-664%3A+Provide+tooling+to+detect+and+abort+hanging+transactions). Similar to `listConsumerGroups`, the new `listTransactions` API is intended to be sent to all brokers. 

Reviewers: David Jacot <djacot@confluent.io>",12,185,0,150,1289,11,11,185,185,185,1,1,185,185,185,0,0,0,0,0,0,0
core/src/main/scala/kafka/admin/TopicCommand.scala,core/src/main/scala/kafka/admin/TopicCommand.scala,"KAFKA-12596: remove --zookeeper option from topic command (#10457)

Also:
* Remove `ZookeeperTopicService`
* Remove `TopicCommandWithZKClientTest`
* Fix a topic create validation bug
* Adjust existing tests

Reviewers: Ismael Juma <ismael@juma.me.uk>",106,37,216,499,4472,15,33,581,232,5,110,3.0,1834,448,17,1253,216,11,2,1,0,1
core/src/test/scala/unit/kafka/admin/TopicCommandIntegrationTest.scala,core/src/test/scala/unit/kafka/admin/TopicCommandIntegrationTest.scala,"KAFKA-12596: remove --zookeeper option from topic command (#10457)

Also:
* Remove `ZookeeperTopicService`
* Remove `TopicCommandWithZKClientTest`
* Fix a topic create validation bug
* Adjust existing tests

Reviewers: Ismael Juma <ismael@juma.me.uk>",53,23,18,622,5439,11,47,814,574,22,37,2,1099,574,30,285,93,8,2,1,0,1
core/src/test/scala/unit/kafka/admin/TopicCommandTest.scala,core/src/test/scala/unit/kafka/admin/TopicCommandTest.scala,"KAFKA-12596: remove --zookeeper option from topic command (#10457)

Also:
* Remove `ZookeeperTopicService`
* Remove `TopicCommandWithZKClientTest`
* Fix a topic create validation bug
* Adjust existing tests

Reviewers: Ismael Juma <ismael@juma.me.uk>",11,22,2,118,752,5,11,151,82,30,5,3,167,84,33,16,10,3,2,1,0,1
core/src/main/scala/kafka/zk/KafkaZkClient.scala,core/src/main/scala/kafka/zk/KafkaZkClient.scala,"KAFKA-12866: Avoid root access to Zookeeper (#10795)

The broker shouldn't assume create access to the chroot. There are
deployement scenarios where the chroot is already created is the only
znode which the broker can access.

Reviewers: Manikumar Reddy <manikumar.reddy@gmail.com>, Ron Dagostino <rdagostino@confluent.io>",313,3,1,1233,9816,1,130,2032,684,30,68,4.0,3140,684,46,1108,218,16,2,1,0,1
core/src/test/scala/unit/kafka/zk/ZkClientAclTest.scala,core/src/test/scala/unit/kafka/zk/ZkClientAclTest.scala,"KAFKA-12866: Avoid root access to Zookeeper (#10795)

The broker shouldn't assume create access to the chroot. There are
deployement scenarios where the chroot is already created is the only
znode which the broker can access.

Reviewers: Manikumar Reddy <manikumar.reddy@gmail.com>, Ron Dagostino <rdagostino@confluent.io>",3,63,0,35,280,3,3,63,63,63,1,1,63,63,63,0,0,0,0,0,0,0
streams/src/main/java/org/apache/kafka/streams/StreamsConfig.java,streams/src/main/java/org/apache/kafka/streams/StreamsConfig.java,"KAFKA-12519: Remove built-in Streams metrics for versions 0.10.0-2.4 (#10765)

As specified in KIP-743, this PR removes the built-in metrics
in Streams that are superseded by the refactoring proposed in KIP-444.

Reviewers: Guozhang Wang <wangguoz@gmail.com>, Luke Chen <showuon@gmail.com>",71,0,6,892,6090,0,30,1496,201,9,164,2.0,3027,355,18,1531,293,9,2,1,0,1
streams/src/main/java/org/apache/kafka/streams/kstream/internals/KStreamAggregate.java,streams/src/main/java/org/apache/kafka/streams/kstream/internals/KStreamAggregate.java,"KAFKA-12519: Remove built-in Streams metrics for versions 0.10.0-2.4 (#10765)

As specified in KIP-743, this PR removes the built-in metrics
in Streams that are superseded by the refactoring proposed in KIP-444.

Reviewers: Guozhang Wang <wangguoz@gmail.com>, Luke Chen <showuon@gmail.com>",12,2,2,103,791,1,8,142,171,4,33,2,330,171,10,188,89,6,2,1,0,1
streams/src/main/java/org/apache/kafka/streams/kstream/internals/KStreamKStreamJoin.java,streams/src/main/java/org/apache/kafka/streams/kstream/internals/KStreamKStreamJoin.java,"KAFKA-12519: Remove built-in Streams metrics for versions 0.10.0-2.4 (#10765)

As specified in KIP-743, this PR removes the built-in metrics
in Streams that are superseded by the refactoring proposed in KIP-444.

Reviewers: Guozhang Wang <wangguoz@gmail.com>, Luke Chen <showuon@gmail.com>",16,2,2,144,1308,1,5,215,97,8,28,3.5,342,105,12,127,32,5,2,1,0,1
